,synset_offset,lex_filenum,ss_type,w_cnt,word with lex_id,p_cnt,ptr,f_cnt,frame,gloss
16,00005526,29,v,04,"[['pant', '0'], ['puff', '0'], ['gasp', '0'], ['heave', '1']]",007,"[['@', '00007012', 'v', '0000'], ['+', '00834135', 'n', '0402'], ['+', '00837098', 'n', '0301'], ['+', '00835501', 'n', '0202'], ['+', '00834460', 'n', '0201'], ['+', '00837098', 'n', '0102'], ['+', '00834135', 'n', '0101']]",1,"[['02', '00']]","noisily, as when one is exhausted; ""The runners reached the finish line, panting heavily"""
17,00005815,29,v,01,"[['cough', '0']]",008,"[['@', '00006238', 'v', '0000'], ['+', '14359174', 'n', '0101'], ['+', '14359174', 'n', '0102'], ['^', '00006238', 'v', '0103'], ['^', '00006238', 'v', '0102'], ['^', '02200341', 'v', '0101'], ['~', '00006100', 'v', '0000'], ['~', '00035089', 'v', '0000']]",2,"[['02', '00'], ['08', '00']]","abruptly, as when one has a chest cold or congestion; ""The smoker coughs all day"""
18,00006100,29,v,02,"[['hack', '0'], ['whoop', '0']]",001,"[['@', '00005815', 'v', '0000']]",1,"[['02', '00']]","spasmodically; ""The patient with emphysema is hacking all day"""
19,00006238,29,v,05,"[['expectorate', '0'], ['cough_up', '0'], ['cough_out', '0'], ['spit_up', '0'], ['spit_out', '1']]",007,"[['@', '00104868', 'v', '0000'], ['+', '13477934', 'n', '0101'], ['+', '00118552', 'n', '0103'], ['+', '10636874', 'n', '0102'], ['~', '00005815', 'v', '0000'], ['~', '00101956', 'v', '0000'], ['~', '00102303', 'v', '0000']]",1,"[['02', '00']]",(phlegm or sputum) from the lungs and out of the mouth
20,00006523,29,v,01,"[['snort', '0']]",003,"[['@', '00004227', 'v', '0000'], ['+', '10617501', 'n', '0101'], ['+', '00834460', 'n', '0103']]",1,"[['02', '00']]","a snorting sound by exhaling hard; ""The critic snorted contemptuously"""
21,00006697,29,v,01,"[['wheeze', '0']]",002,"[['@', '00001740', 'v', '0000'], ['+', '00836407', 'n', '0101']]",1,"[['02', '00']]",with difficulty
22,00006802,29,v,03,"[['puff', '1'], ['huff', '0'], ['chuff', '0']]",004,"[['@', '00007012', 'v', '0000'], ['+', '00834460', 'n', '0202'], ['+', '00835501', 'n', '0102'], ['+', '00834460', 'n', '0101']]",1,"[['02', '00']]","hard and loudly; ""he huffed and puffed as he made his way up the mountain"""
23,00007012,29,v,01,"[['blow', '0']]",005,"[['@', '00004227', 'v', '0000'], ['+', '00835501', 'n', '0101'], ['~', '00005526', 'v', '0000'], ['~', '00006802', 'v', '0000'], ['~', '00007193', 'v', '0000']]",1,"[['02', '00']]","hard; ""blow on the soup to cool it down"""
24,00007193,29,v,01,"[['insufflate', '0']]",003,"[['@', '00007012', 'v', '0000'], ['+', '00835830', 'n', '0101'], ['$', '00079629', 'v', '0000']]",1,"[['08', '00']]",or breathe hard on or into
25,00007328,29,v,01,"[['yawn', '0']]",004,"[['@', '00001740', 'v', '0000'], ['+', '00837293', 'n', '0101'], ['+', '10803193', 'n', '0101'], ['+', '00837293', 'n', '0102']]",1,"[['02', '00']]","a yawn, as from lack of oxygen or when one is tired; ""The child yawned during the long performance"""
26,00007549,29,v,02,"[['sniff', '0'], ['sniffle', '0']]",003,"[['@', '00005041', 'v', '0000'], ['+', '00836149', 'n', '0202'], ['+', '10616670', 'n', '0101']]",1,"[['02', '00']]","audibly through the nose; ""the sick student was sniffling in the back row"""
27,00007739,29,v,04,"[['blink', '0'], ['wink', '0'], ['nictitate', '0'], ['nictate', '0']]",010,"[['@', '00010241', 'v', '0000'], ['+', '00117959', 'n', '0407'], ['+', '00117959', 'n', '0306'], ['+', '00117959', 'n', '0204'], ['+', '10783539', 'n', '0201'], ['+', '00117959', 'n', '0205'], ['+', '00117959', 'n', '0101'], ['+', '00117959', 'n', '0103'], ['~', '00008055', 'v', '0000'], ['~', '00008195', 'v', '0000']]",1,"[['02', '00']]","shut the eyes; ""The TV announcer never seems to blink"""
28,00008055,29,v,01,"[['palpebrate', '0']]",003,"[['@', '00007739', 'v', '0000'], ['+', '05313822', 'n', '0103'], ['+', '01265176', 'n', '0101']]",1,"[['02', '00']]","or blink, especially repeatedly"
29,00008195,29,v,02,"[['bat', '0'], ['flutter', '0']]",001,"[['@', '00007739', 'v', '0000']]",1,"[['08', '00']]","briefly; ""bat one's eyelids"""
30,00008299,29,v,01,"[['wink', '2']]",003,"[['@', '00992041', 'v', '0000'], ['+', '06878934', 'n', '0101'], ['+', '10783539', 'n', '0101']]",1,"[['22', '00']]","by winking; ""She winked at him"""
31,00008435,29,v,03,"[['wink', '1'], ['blink', '1'], ['blink_away', '0']]",003,"[['@', '00462092', 'v', '0000'], ['+', '00117959', 'n', '0201'], ['+', '06878934', 'n', '0101']]",1,"[['08', '00']]","to go away by blinking; ""blink away tears"""
32,00008602,29,v,02,"[['squint', '0'], ['squinch', '0']]",003,"[['@', '00034288', 'v', '0000'], ['+', '10643727', 'n', '0101'], ['+', '00878328', 'n', '0101']]",1,"[['02', '00']]","one's eyes as if in strabismus; ""The children squinted so as to scare each other"""
33,00008799,29,v,01,"[['squint', '2']]",001,"[['@', '00033599', 'v', '0000']]",1,"[['02', '00']]","close one's eyes, as when hit by direct blinding light; ""The driver squinted as the sun hit his windshield"""
34,00008977,29,v,01,"[['wince', '0']]",002,"[['@', '00034288', 'v', '0000'], ['+', '06879056', 'n', '0101']]",1,"[['02', '00']]","a face indicating disgust or dislike; ""She winced when she heard his pompous speech"""
35,00009147,29,v,05,"[['shed', '0'], ['molt', '0'], ['exuviate', '0'], ['moult', '0'], ['slough', '0']]",011,"[['@', '01513430', 'v', '0000'], ['+', '09438055', 'n', '0501'], ['+', '13555599', 'n', '0502'], ['+', '01318660', 'n', '0402'], ['+', '13516842', 'n', '0404'], ['+', '13516842', 'n', '0403'], ['+', '01318660', 'n', '0201'], ['+', '13516842', 'n', '0202'], ['+', '13516842', 'n', '0201'], ['+', '13555599', 'n', '0101'], ['~', '00009492', 'v', '0000']]",1,"[['01', '00']]","off hair, skin, horn, or feathers; ""our dog sheds every Spring"""
36,00009492,29,v,02,"[['desquamate', '0'], ['peel_off', '0']]",002,"[['@', '00009147', 'v', '0000'], ['+', '11445564', 'n', '0101']]",1,"[['01', '00']]","off in scales; ""dry skin desquamates"""
37,00009631,29,v,02,"[['twitch', '0'], ['jerk', '0']]",007,"[['@', '00010054', 'v', '0000'], ['+', '00335988', 'n', '0201'], ['+', '00335988', 'n', '0202'], ['+', '14361664', 'n', '0101'], ['+', '14361664', 'n', '0102'], ['~', '00009884', 'v', '0000'], ['$', '01891817', 'v', '0000']]",2,"[['02', '00'], ['23', '00']]","an uncontrolled, short, jerky motion; ""his face is twitching"""
38,00009884,29,v,01,"[['fibrillate', '0']]",002,"[['@', '00009631', 'v', '0000'], ['+', '14362179', 'n', '0101']]",1,"[['01', '00']]","fine, irregular, rapid twitching movements; ""His heart fibrillated and he died"""
39,00010054,29,v,02,"[['move_involuntarily', '0'], ['move_reflexively', '0']]",004,"[['@', '01831531', 'v', '0000'], ['~', '00009631', 'v', '0000'], ['~', '00014034', 'v', '0000'], ['~', '00014201', 'v', '0000']]",2,"[['02', '00'], ['23', '00']]",in an uncontrolled manner
40,00010241,29,v,02,"[['act_involuntarily', '0'], ['act_reflexively', '0']]",005,"[['@', '00010435', 'v', '0000'], ['~', '00004819', 'v', '0000'], ['~', '00007739', 'v', '0000'], ['~', '00101629', 'v', '0000'], ['~', '00102791', 'v', '0000']]",1,"[['02', '00']]",in an uncontrolled manner
41,00010435,29,v,03,"[['act', '0'], ['behave', '0'], ['do', '9']]",035,"[['$', '00013615', 'v', '0000'], ['^', '02122522', 'v', '0101'], ['~', '00010241', 'v', '0000'], ['~', '00011361', 'v', '0000'], ['~', '00011551', 'v', '0000'], ['~', '00011698', 'v', '0000'], ['~', '00011852', 'v', '0000'], ['~', '00011982', 'v', '0000'], ['~', '00012137', 'v', '0000'], ['~', '00012267', 'v', '0000'], ['~', '00012434', 'v', '0000'], ['~', '00012613', 'v', '0000'], ['~', '00012753', 'v', '0000'], ['~', '00012854', 'v', '0000'], ['~', '00012944', 'v', '0000'], ['~', '00013172', 'v', '0000'], ['~', '00013328', 'v', '0000'], ['~', '00013615', 'v', '0000'], ['~', '00013858', 'v', '0000'], ['~', '00105554', 'v', '0000'], ['~', '00106843', 'v', '0000'], ['~', '00107369', 'v', '0000'], ['~', '00107468', 'v', '0000'], ['$', '01721556', 'v', '0000'], ['~', '01784295', 'v', '0000'], ['~', '02011685', 'v', '0000'], ['~', '02374572', 'v', '0000'], ['~', '02518043', 'v', '0000'], ['~', '02518956', 'v', '0000'], ['~', '02519890', 'v', '0000'], ['~', '02592895', 'v', '0000'], ['~', '02596908', 'v', '0000'], ['~', '02600255', 'v', '0000'], ['~', '02602212', 'v', '0000'], ['~', '02723016', 'v', '0000']]",2,"[['02', '00'], ['07', '00']]","in a certain manner; show a certain behavior; conduct or comport oneself; ""You should act like an adult""; ""Don't behave like a fool""; ""What makes her do this way?""; ""The dog acts ferocious, but he is really afraid of people"""
42,00011361,29,v,02,"[['fall_over_backwards', '0'], ['bend_over_backwards', '0']]",001,"[['@', '00010435', 'v', '0000']]",1,"[['02', '00']]","very hard to please someone; ""She falls over backwards when she sees her mother-in-law"""
43,00011551,29,v,01,"[['presume', '0']]",003,"[['@', '00010435', 'v', '0000'], ['+', '04838727', 'n', '0101'], ['+', '01225562', 'n', '0101']]",1,"[['02', '00']]",liberties or act with too much confidence
44,00011698,29,v,02,"[['vulgarize', '0'], ['vulgarise', '0']]",002,"[['@', '00010435', 'v', '0000'], ['+', '01950198', 'a', '0105']]",1,"[['02', '00']]","in a vulgar manner; ""The drunkard tends to vulgarize"""
45,00011852,29,v,02,"[['optimize', '0'], ['optimise', '0']]",001,"[['@', '00010435', 'v', '0000']]",1,"[['02', '00']]",as an optimist and take a sunny view of the world
46,00011982,29,v,01,"[['quack', '0']]",004,"[['@', '00010435', 'v', '0000'], [';c', '00612160', 'n', '0000'], ['+', '10497202', 'n', '0101'], ['+', '00633108', 'n', '0101']]",1,"[['02', '00']]",as a medical quack or a charlatan
47,00012137,29,v,01,"[['menace', '0']]",002,"[['@', '00010435', 'v', '0000'], ['+', '06733782', 'n', '0101']]",1,"[['02', '00']]","in a threatening manner; ""A menacing person"""
48,00012267,29,v,01,"[['make', '8']]",003,"[['$', '02289295', 'v', '0000'], ['$', '02355596', 'v', '0000'], ['@', '00010435', 'v', '0000']]",1,"[['09', '00']]","in a certain way so as to acquire; ""make friends""; ""make enemies"""
49,00012434,29,v,03,"[['swagger', '0'], ['bluster', '0'], ['swash', '0']]",003,"[['@', '00010435', 'v', '0000'], ['+', '10274318', 'n', '0202'], ['+', '10682038', 'n', '0101']]",1,"[['02', '00']]","in an arrogant, overly self-assured, or conceited manner"
50,00012613,29,v,01,"[['freeze', '2']]",001,"[['@', '00010435', 'v', '0000']]",1,"[['02', '00']]","behave coldly and formally; ""She froze when she saw her ex-husband"""
51,00012753,29,v,01,"[['wanton', '0']]",001,"[['@', '00010435', 'v', '0000']]",1,"[['02', '00']]",extremely cruelly and brutally
52,00012854,29,v,01,"[['romanticize', '0']]",001,"[['@', '00010435', 'v', '0000']]",1,"[['02', '00']]",in a romantic way
53,00012944,29,v,04,"[['sentimentalise', '0'], ['sentimentalize', '0'], ['sentimentize', '0'], ['sentimentise', '0']]",003,"[['@', '00010435', 'v', '0000'], ['+', '01219306', 'n', '0201'], ['+', '01219306', 'n', '0102']]",1,"[['02', '00']]",in a sentimental way or indulge in sentimental thoughts or expression
54,00013172,29,v,01,"[['bungle', '0']]",003,"[['@', '00010435', 'v', '0000'], ['+', '00074790', 'n', '0104'], ['+', '09879744', 'n', '0101']]",1,"[['02', '00']]","by behaving clumsily or foolishly; ""I bungled it!"""
55,00013328,29,v,02,"[['play', '0'], ['toy', '0']]",003,"[['@', '00010435', 'v', '0000'], ['+', '03964744', 'n', '0202'], ['+', '00041188', 'n', '0101']]",1,"[['08', '00']]","in an activity as if it were a game rather than take it seriously; ""They played games on their opponents""; ""play the stock market""; ""play with her feelings""; ""toy with an idea"""
56,00013615,29,v,03,"[['act', '1'], ['play', '1'], ['act_as', '0']]",004,"[['@', '00010435', 'v', '0000'], ['+', '07014029', 'n', '0101'], ['$', '00010435', 'v', '0000'], ['$', '01719302', 'v', '0000']]",1,"[['09', '00']]","to have certain qualities or state of mind; ""He acted the idiot""; ""She plays deaf when the news are bad"""
57,00013858,29,v,01,"[['stooge', '0']]",002,"[['@', '00010435', 'v', '0000'], ['+', '10098092', 'n', '0103']]",1,"[['02', '00']]","as a stooge, in a compliant or subordinate manner; ""He stooged for the flamboyant Senator"""
58,00014034,29,v,02,"[['shake', '0'], ['didder', '0']]",003,"[['@', '00010054', 'v', '0000'], ['+', '00867983', 'n', '0103'], ['+', '14004572', 'n', '0101']]",2,"[['01', '00'], ['02', '00']]","with or as if with a tremor; ""his hands shook"""
59,00014201,29,v,02,"[['shiver', '0'], ['shudder', '0']]",004,"[['@', '00010054', 'v', '0000'], ['+', '00348801', 'n', '0202'], ['+', '00867983', 'n', '0102'], ['+', '14340287', 'n', '0102']]",2,"[['01', '00'], ['02', '00']]","as from cold; ""The children are shivering--turn on the heat!"""
60,00014405,29,v,01,"[['rest', '0']]",005,"[['@', '01547390', 'v', '0000'], ['+', '10524973', 'n', '0101'], ['!', '00014549', 'v', '0101'], ['~', '00014742', 'v', '0000'], ['~', '00016380', 'v', '0000']]",1,"[['02', '00']]",at rest
61,00014549,29,v,02,"[['be_active', '0'], ['move', '6']]",005,"[['+', '14004317', 'n', '0201'], ['+', '00165942', 'n', '0201'], ['+', '10484526', 'n', '0202'], ['!', '00014405', 'v', '0101'], ['~', '02083806', 'v', '0000']]",1,"[['02', '00']]","in a state of action; ""she is always moving"""
62,00014742,29,v,05,"[['sleep', '0'], ['kip', '0'], ['slumber', '0'], [""log_Z's"", '0'], [""catch_some_Z's"", '0']]",018,"[['@', '00014405', 'v', '0000'], ['+', '14024882', 'n', '0302'], ['+', '10610465', 'n', '0302'], ['+', '15273955', 'n', '0201'], ['+', '15273626', 'n', '0101'], ['+', '14024882', 'n', '0101'], ['+', '10610465', 'n', '0101'], ['+', '05681117', 'n', '0101'], ['!', '00020133', 'v', '0101'], ['^', '00015806', 'v', '0102'], ['^', '00015806', 'v', '0101'], ['^', '01177314', 'v', '0102'], ['^', '01177505', 'v', '0102'], ['~', '00015163', 'v', '0000'], ['~', '00015498', 'v', '0000'], ['~', '00015806', 'v', '0000'], ['~', '00015946', 'v', '0000'], ['~', '00016183', 'v', '0000']]",1,"[['02', '00']]",asleep
63,00015163,29,v,02,"[['bundle', '0'], ['practice_bundling', '0']]",001,"[['@', '00014742', 'v', '0000']]",1,"[['02', '00']]",fully clothed in the same bed with one's betrothed
64,00015303,29,v,03,"[['snooze', '0'], ['drowse', '1'], ['doze', '0']]",005,"[['@', '00015498', 'v', '0000'], ['+', '00858849', 'n', '0301'], ['^', '00017282', 'v', '0307'], ['+', '00858849', 'n', '0202'], ['+', '00858377', 'n', '0106']]",1,"[['02', '00']]",lightly or for a short period of time
65,00015498,29,v,03,"[['nap', '0'], ['catnap', '0'], ['catch_a_wink', '0']]",005,"[['@', '00014742', 'v', '0000'], ['+', '00858377', 'n', '0202'], ['+', '00858377', 'n', '0101'], ['+', '15273626', 'n', '0102'], ['~', '00015303', 'v', '0000']]",1,"[['02', '00']]","a siesta; ""She naps everyday after lunch for an hour"""
66,00015713,29,v,01,"[['oversleep', '0']]",001,"[['*', '00014742', 'v', '0000']]",1,"[['02', '00']]",longer than intended
67,00015806,29,v,02,"[['sleep_late', '0'], ['sleep_in', '0']]",001,"[['@', '00014742', 'v', '0000']]",1,"[['02', '00']]","later than usual or customary; ""On Sundays, I sleep in"""
68,00015946,29,v,02,"[['hibernate', '0'], ['hole_up', '0']]",005,"[['@', '00014742', 'v', '0000'], ['+', '14013981', 'n', '0101'], ['+', '14014849', 'n', '0101'], ['!', '00016183', 'v', '0101'], ['!', '00016183', 'v', '0102']]",1,"[['01', '00']]","during winter; ""Bears must eat a lot of food before they hibernate in their caves"""
69,00016183,29,v,02,"[['estivate', '0'], ['aestivate', '0']]",005,"[['@', '00014742', 'v', '0000'], ['+', '14014162', 'n', '0202'], ['!', '00015946', 'v', '0201'], ['+', '14014162', 'n', '0101'], ['!', '00015946', 'v', '0101']]",1,"[['01', '00']]","during summer; ""certain animals estivate"""
70,00016380,29,v,01,"[['drowse', '0']]",004,"[['@', '00014405', 'v', '0000'], ['+', '00858849', 'n', '0102'], ['^', '00017282', 'v', '0108'], ['~', '00016573', 'v', '0000']]",1,"[['02', '00']]","on the verge of sleeping; ""The students were drowsing in the 8 AM class"""
71,00016573,29,v,01,"[['nod', '2']]",001,"[['@', '00016380', 'v', '0000']]",2,"[['01', '00'], ['02', '00']]","almost asleep; ""The old man sat nodding by the fireplace"""
72,00016702,29,v,01,"[['nod', '3']]",001,"[['+', '00336430', 'n', '0101']]",2,"[['01', '00'], ['02', '00']]","the head fall forward through drowsiness; ""The old man was nodding in his chair"""
73,00016855,29,v,01,"[['zonk_out', '0']]",001,"[['@', '00017282', 'v', '0000']]",1,"[['02', '00']]","asleep fast, as when one is extremely tired; ""after the long drive, we zonked out and slept for 10 hours"""
74,00017031,29,v,03,"[['snore', '0'], ['saw_wood', '0'], ['saw_logs', '0']]",006,"[['*', '00014742', 'v', '0000'], ['@', '00001740', 'v', '0000'], ['+', '00835976', 'n', '0101'], ['+', '07394478', 'n', '0101'], ['+', '10617397', 'n', '0101'], ['+', '00835976', 'n', '0102']]",1,"[['02', '00']]","noisily during one's sleep; ""she complained that her husband snores"""
75,00017282,29,v,08,"[['fall_asleep', '0'], ['dope_off', '0'], ['flake_out', '0'], ['drift_off', '0'], ['nod_off', '0'], ['drop_off', '0'], ['doze_off', '0'], ['drowse_off', '0']]",002,"[['!', '00018526', 'v', '0101'], ['~', '00016855', 'v', '0000']]",1,"[['02', '00']]","from a waking to a sleeping state; ""he always falls asleep during lectures"""
76,00017531,29,v,02,"[['bed_down', '0'], ['bunk_down', '0']]",002,"[['@', '00017865', 'v', '0000'], ['~', '00017674', 'v', '0000']]",2,"[['02', '00'], ['22', '00']]","to bed; ""We bedded down at midnight"""
77,00017674,29,v,03,"[['doss', '0'], ['doss_down', '0'], ['crash', '0']]",002,"[['@', '00017531', 'v', '0000'], ['+', '10026976', 'n', '0101']]",2,"[['02', '00'], ['22', '00']]","in a convenient place; ""You can crash here, though it's not very comfortable"""
78,00017865,29,v,0a,"[['go_to_bed', '0'], ['turn_in', '0'], ['bed', '0'], ['crawl_in', '0'], ['kip_down', '0'], ['hit_the_hay', '0'], ['hit_the_sack', '0'], ['sack_out', '0'], ['go_to_sleep', '1'], ['retire', '0']]",003,"[['!', '00018158', 'v', '0202'], ['!', '00018158', 'v', '0101'], ['~', '00017531', 'v', '0000']]",1,"[['02', '00']]","for sleep; ""I usually turn in at midnight""; ""He goes to bed at the crack of dawn"""
79,00018158,29,v,05,"[['get_up', '0'], ['turn_out', '0'], ['arise', '0'], ['uprise', '0'], ['rise', '8']]",004,"[['+', '00324384', 'n', '0501'], ['+', '10532576', 'n', '0501'], ['!', '00017865', 'v', '0202'], ['!', '00017865', 'v', '0101']]",1,"[['02', '00']]","up and out of bed; ""I get up at 7 A.M. every day""; ""They rose early""; ""He uprose at night"""
80,00018405,29,v,01,"[['get_up', '1']]",001,"[['@', '01974062', 'v', '0000']]",2,"[['09', '00'], ['10', '00']]","to rise; ""The sergeant got us up at 2 A.M."""
81,00018526,29,v,07,"[['wake_up', '0'], ['awake', '0'], ['arouse', '5'], ['awaken', '1'], ['wake', '1'], ['come_alive', '0'], ['waken', '0']]",007,"[['*', '00014742', 'v', '0000'], ['@', '00146138', 'v', '0000'], ['+', '01259773', 'n', '0702'], ['+', '10763878', 'n', '0501'], ['+', '01259773', 'n', '0401'], ['+', '05678745', 'n', '0301'], ['!', '00017282', 'v', '0101']]",1,"[['02', '00']]","sleeping; ""She woke up to the sound of the alarm clock"""
82,00018813,29,v,06,"[['awaken', '0'], ['wake', '2'], ['waken', '1'], ['rouse', '2'], ['wake_up', '1'], ['arouse', '1']]",009,"[['@', '00126264', 'v', '0000'], ['+', '10763985', 'n', '0603'], ['+', '05678745', 'n', '0601'], ['+', '10763985', 'n', '0402'], ['+', '01259773', 'n', '0101'], ['!', '00019273', 'v', '0101'], ['~', '00019182', 'v', '0000'], ['~', '00022099', 'v', '0000'], ['~', '00107231', 'v', '0000']]",2,"[['09', '00'], ['10', '00']]","to become awake or conscious; ""He was roused by the drunken men in the street""; ""Please wake me at 6 AM."""
83,00019182,29,v,01,"[['reawaken', '0']]",001,"[['@', '00018813', 'v', '0000']]",2,"[['09', '00'], ['10', '00']]",once again
84,00019273,29,v,01,"[['cause_to_sleep', '0']]",003,"[['>', '00014742', 'v', '0000'], ['@', '00126264', 'v', '0000'], ['!', '00018813', 'v', '0101']]",2,"[['09', '00'], ['10', '00']]","fall asleep; ""The soft music caused us to fall asleep"""
85,00019448,29,v,01,"[['affect', '0']]",011,"[['@', '00126264', 'v', '0000'], ['~', '00019792', 'v', '0000'], ['~', '00019982', 'v', '0000'], ['~', '00022316', 'v', '0000'], ['~', '00022686', 'v', '0000'], ['~', '00025203', 'v', '0000'], ['~', '00025654', 'v', '0000'], ['~', '00031181', 'v', '0000'], ['~', '00106723', 'v', '0000'], ['~', '00728224', 'v', '0000'], ['~', '01190494', 'v', '0000']]",4,"[['08', '00'], ['09', '00'], ['10', '00'], ['11', '00']]","physically on; have an effect upon; ""the medicine affects my heart rate"""
86,00019792,29,v,01,"[['attack', '0']]",003,"[['@', '00019448', 'v', '0000'], ['+', '13435548', 'n', '0101'], ['+', '09821253', 'n', '0101']]",1,"[['11', '00']]","to injure; ""The cancer cells are attacking his liver""; ""Rust is attacking the metal"""
